FriendRel,PersonA_ID,PersonB_ID,DateOfFriendship,Desc
1,130,175,800202,College Friend
2,12,154,870323,Online Friend
3,124,190,731204,Family
4,119,160,230618,Friend
5,114,125,080623,Other
6,90,124,960726,Relative
7,31,40,090608,Family
8,95,46,731204,Online Friend
9,46,192,190618,College Friend
10,96,77,120909,Family
11,182,56,720610,Partner
12,51,85,160414,Friend
13,23,171,170114,Family
14,27,8,220608,Other
15,176,46,960528,Online Friend
16,161,141,830327,Partner
17,131,16,910318,Relative
18,137,198,870112,Partner
19,66,50,230911,Partner
20,107,50,960621,Partner
21,126,169,080828,Relative
22,33,149,100820,Relative
23,129,151,050615,Partner
24,122,105,731224,Online Friend
25,135,70,701220,Relative
26,96,172,850525,Other
27,44,146,890114,Friend
28,132,59,030613,Family
29,178,163,841108,Family
30,63,1,980912,College Friend
31,70,137,960805,Other
32,130,112,040803,Relative
33,113,103,710807,Family
34,95,91,220627,Other
35,127,70,030419,Other
36,133,84,011027,Friend
37,53,70,850922,Online Friend
38,28,16,050312,Family
39,10,68,020410,Friend
40,43,174,810518,College Friend
41,155,57,210224,Relative
42,48,15,971005,Online Friend
43,7,188,750829,Friend
44,111,97,130603,Friend
45,31,169,221226,Online Friend
46,197,38,950828,Other
47,41,163,850913,Other
48,130,145,860705,College Friend
49,196,28,930620,Partner
50,55,176,101124,Online Friend
51,86,113,941021,Other
52,168,101,890516,Relative
53,4,98,831104,Online Friend
54,124,134,181113,Online Friend
55,56,43,760904,Partner
56,185,39,731002,Other
57,78,193,990408,Online Friend
58,26,114,180409,Friend
59,169,78,961229,Relative
60,5,8,191115,College Friend
61,42,106,861206,Other
62,29,137,040628,Relative
63,124,177,031124,College Friend
64,60,170,150327,College Friend
65,98,171,850226,College Friend
66,194,172,920625,Family
67,188,47,920905,Online Friend
68,12,46,990715,Family
69,18,116,070412,Relative
70,191,51,920409,College Friend
71,38,55,161223,Friend
72,62,105,170425,Relative
73,103,39,050928,Relative
74,199,5,191228,Online Friend
75,3,20,950702,Partner
76,143,59,730104,Friend
77,17,172,820109,Partner
78,81,87,060427,College Friend
79,195,168,810923,Family
80,10,62,930821,Online Friend
81,21,92,090101,College Friend
82,126,181,850630,Partner
83,53,79,870205,Other
84,3,81,741231,Family
85,30,69,750610,Friend
86,140,122,761128,Partner
87,6,90,160226,Other
88,134,193,110412,Relative
89,136,2,000916,Relative
90,89,116,060902,College Friend
91,66,121,021108,College Friend
92,22,55,081123,Online Friend
93,130,116,810216,College Friend
94,8,194,190327,Family
95,123,110,830112,Family
96,1,185,010120,Family
97,101,200,940211,Online Friend
98,3,1,030110,Friend
99,9,20,030827,Relative
100,33,127,180304,Family
101,39,19,120126,Partner
102,173,14,700502,College Friend
103,187,63,020206,Friend
104,141,3,170108,College Friend
105,33,154,210302,Relative
106,168,62,030107,Partner
107,63,125,000307,Partner
108,21,132,961118,College Friend
109,11,143,091120,Other
110,53,99,201110,Relative
111,31,41,890227,Other
112,164,59,901028,Friend
113,54,12,080803,Partner
114,45,61,000320,Partner
115,112,47,100601,Other
116,84,61,081225,Friend
117,156,190,770611,Family
118,104,84,841126,Relative
119,120,159,001030,College Friend
120,22,106,910805,Partner
121,128,131,111030,Friend
122,102,90,030606,College Friend
123,33,78,770712,Other
124,4,198,910204,Partner
125,113,83,061225,College Friend
126,194,171,740802,Other
127,91,120,700825,Relative
128,105,107,150725,College Friend
129,119,129,870606,Online Friend
130,145,52,000121,Partner
131,127,69,761029,Relative
132,155,95,710909,Partner
133,200,96,050927,Other
134,114,29,900818,Family
135,180,176,980609,Family
136,12,130,181120,Other
137,52,195,720819,College Friend
138,98,180,920228,Online Friend
139,176,146,700407,College Friend
140,20,106,871201,College Friend
141,65,169,821226,Friend
142,46,123,950120,Other
143,91,170,030804,Partner
144,76,131,990417,Relative
145,123,60,700609,Family
146,147,193,160229,Partner
147,76,38,050801,Relative
148,142,73,100408,Other
149,164,124,160905,Online Friend
150,142,189,040625,Online Friend
151,185,36,950725,Partner
152,199,34,920426,Family
153,141,133,020211,Other
154,155,190,010830,Relative
155,123,178,840807,Partner
156,141,22,970621,College Friend
157,33,93,961125,Online Friend
158,80,62,741120,Online Friend
159,13,71,770821,Other
160,52,25,701019,Friend
161,67,128,061205,Family
162,66,186,870624,Online Friend
163,68,96,810926,Online Friend
164,86,122,950205,Other
165,37,15,210710,College Friend
166,2,103,900627,Partner
167,173,62,730103,Relative
168,26,56,930309,Friend
169,27,198,891106,College Friend
170,163,20,150909,Friend
171,126,100,920131,Friend
172,19,58,050926,Friend
173,11,187,160313,Online Friend
174,32,177,930705,Relative
175,96,135,101113,Online Friend
176,120,150,970205,Online Friend
177,173,186,850812,Family
178,46,197,930324,College Friend
179,67,146,181029,Partner
180,144,18,031104,Other
181,181,132,230911,Family
182,5,98,950402,Friend
183,195,151,100420,College Friend
184,19,83,071130,Other
185,43,127,841223,Partner
186,97,181,990816,Relative
187,40,98,960523,College Friend
188,120,192,220222,Family
189,127,160,040408,Family
190,115,17,010117,Relative
191,59,172,030713,Relative
192,33,72,061122,College Friend
193,89,145,900725,Online Friend
194,55,187,020310,Relative
195,14,159,120119,Other
196,108,36,820401,Family
197,61,130,141105,Relative
198,189,163,850720,Relative
199,184,45,790521,Partner
200,57,31,750802,Friend
201,83,112,051103,Other
202,112,180,041024,Family
203,1,112,841224,Other
204,91,117,070110,College Friend
